PlaceName,StateAbbr,CDCHI,domain_cardio,domain_resp,domain_behav
Detroit,MI,100.0,3.070036530263826,2.9492939560549893,2.19011428557899
Gary,IN,99.87470745250717,3.361483949129582,2.5584173935808336,2.272240018999393
Flint,MI,98.7105667443446,2.427178457620372,3.3401705185291437,2.2640198209268307
Youngstown,OH,96.99818862940334,2.3030997426392408,3.144732237292066,2.3470504377658283
Camden,NJ,95.0534847981537,2.6221610240628253,1.9069564561239092,2.997193432184381
Cleveland,OH,92.53290095410617,2.221075203361036,2.9492939560549893,2.007838876610521
Dayton,OH,91.36461151371806,2.39975932469409,2.884147862309296,1.7329553276026022
Macon,GA,89.76311958680023,2.629887784085976,2.1675408311066793,1.9982613534100682
Reading,PA,87.49511259250345,1.8586555733670658,2.037248643615295,2.5865647650823664
Birmingham,AL,85.9822534940827,2.4750528909053995,2.037248643615295,1.7612354554946639
Albany,GA,85.04067707100108,2.5138458600288005,1.9069564561239092,1.7226991418382034
Canton,OH,80.44523076336722,1.3745018728559248,2.623563487326527,1.510786279849782
Trenton,NJ,79.52263291937236,1.8018103670975691,1.6463720811411404,1.9332546786987341
Newark,NJ,78.24116327560357,1.8311205271990005,1.3857877061583703,1.9875527259363726
Toledo,OH,77.59242206896307,1.4913773409977296,2.2326869248523713,1.3908028953368645
New Bedford,MA,77.55665386490921,0.6740553433944312,2.9492939560549893,1.4865781273413932
Memphis,TN,77.51812894181428,1.8811714192777371,1.7115181748868327,1.5119173841230247
Springfield,MA,77.05352133598745,1.0862404338485785,2.1023947373609873,1.8518076078422767
Fall River,MA,76.495199754122,0.4698070398816759,3.144732237292066,1.3487970215554612
Lawrence,MA,76.23815729889847,1.23794448853386,1.581225987395447,2.1086672147225327
Muncie,IN,74.78439709786879,1.0165960706144725,2.4932712998351416,1.2172001261502543
Hartford,CT,74.71631730908638,1.8982692767222469,1.1252033311756005,1.694192793091493
Tuscaloosa,AL,74.39776479527217,1.6676022373315653,1.841810362378217,1.1642594040405074
Fort Smith,AR,74.16331479808365,1.0592125013428413,1.841810362378217,1.74027064225657
Akron,OH,72.80069940704314,1.2358409994991428,2.037248643615295,1.1800211376216851
Mobile,AL,72.73742028967132,1.8638164153334156,1.581225987395447,0.9993292746357557
Hammond,IN,71.82677848330175,1.262138899760113,1.7115181748868327,1.344951267026437
Paterson,NJ,71.2379694494243,1.488262902023931,0.734326768701446,2.0147017495551913
Jackson,MS,71.08143564240322,2.3784508033436436,0.6040345812100609,1.233188080586081
Rochester,NY,70.90457006123859,1.4848903922947239,1.5160798936497548,1.1902773233860837
Springdale,AR,70.52988274821459,0.649942101687918,1.776664268632525,1.7128953977831027
Montgomery,AL,70.34938145397395,1.5720156136331358,1.5160798936497548,1.0264782982545744
Passaic,NJ,69.91971876785209,1.150767715500981,0.6691806749557532,2.2352872513254725
Compton,CA,69.39021978099174,1.4885492578980886,0.5388884874643681,1.9546719336461258
Lake Charles,LA,69.21508391621781,1.6276378165549101,0.9949111436842154,1.3353737438259836
Brockton,MA,68.93505986397277,0.9396850232493222,2.037248643615295,0.9423165771423356
Brownsville,TX,68.7933870188304,1.7395120201889407,0.017719737498828707,2.1424528904313744
San Bernardino,CA,68.29651505602035,0.8335412994659789,1.1252033311756005,1.872319979371074
Lynwood,CA,68.23283223278291,1.156655924299047,0.34345020622729094,2.322163622693494
Chattanooga,TN,67.77712690374399,1.2741551400789637,1.4509337999040626,1.0342460546178396
Buffalo,NY,67.76832818119077,1.0252922771541801,1.5160798936497548,1.216747684440957
Syracuse,NY,67.60500413236959,0.6487259653944201,1.841810362378217,1.245027812333019
Shreveport,LA,67.5399915003391,1.7201688284791603,0.7994728624471381,1.206943940385856
Augusta,GA,67.3663274855103,1.7728631222979352,1.1252033311756005,0.8045354713564032
Cincinnati,OH,67.36014348001788,1.351216232435415,1.6463720811411404,0.7041595749536885
Lauderhill,FL,67.35977463872736,1.3839882715465428,1.320641612412678,0.9970670660892706
Kansas City,KS,67.07653721150166,1.3577560655394132,1.2554955186669847,1.0493291256350723
Pharr,TX,67.03868451981685,1.6421374727042963,0.0828658312445215,1.9323497952801407
Allentown,PA,66.64641488689843,1.0315174692652733,1.1252033311756005,1.4464582677023936
Kalamazoo,MI,66.21166929296456,1.1446670448433471,1.776664268632525,0.6218076206786372
South Bend,IN,66.0480195350819,0.9794241723135602,1.581225987395447,0.9598880775607017
Louisville,KY,65.44576776572076,0.6871445420697005,2.1023947373609873,0.6478255400242136
St. Louis,MO,65.16650930479597,1.2550578212442691,1.2554955186669847,0.8882447507593456
Wilmington,DE,65.09216246719112,1.6973091322012388,0.6040345812100609,1.087186776727587
Laredo,TX,64.92242313707763,1.6136772562089916,-0.3080107312296335,2.0594222735923773
North Charleston,SC,64.86442837275395,1.3163429612516937,1.1903494249212927,0.8503870996668309
Lawton,OK,64.81198595347328,1.091142796608591,1.1252033311756005,1.133490846747312
Miami Gardens,FL,64.7708714788506,1.51388591140325,0.6691806749557532,1.1610923120754277
Evansville,IN,64.34557995919312,0.7420823216425504,1.776664268632525,0.7666778202638885
Perris,CA,64.03343189680253,0.9819115862636716,0.40859629997298375,1.8518076078422767
Knoxville,TN,62.86461613097008,0.667447559074469,1.5160798936497548,0.8973698322505013
Warren,MI,62.75431719038945,0.5871029178183705,1.776664268632525,0.7018973664072035
Baton Rouge,LA,62.35212986871422,1.5492019347019834,0.5388884874643681,0.922030426468187
Savannah,GA,62.26047768692451,1.5117153954081666,0.8646189561928304,0.6211289581146914
Waco,TX,62.17343040548845,1.219583553193485,0.734326768701446,1.0315314043620578
Baltimore,MD,62.085489947529375,1.466478829515479,1.1252033311756005,0.3816146307981536
Lansing,MI,62.00099239779721,0.8263676704519257,1.4509337999040626,0.6843258659888369
Lynn,MA,61.97325078878192,0.4618550081461091,1.581225987395447,0.9147151118142189
